CONT. CONTÁBIL;CONTA CÓD.;DATA;NOME CLIENTE/FORNECEDOR;HISTÓRICO; CRÉDITO ;  DÉBITO
KM SAIDA ;2;12/04/22;;;;
KM CHEGADA ;3;12/04/22;;;;
DIESEL;13;12/04/22;POSTOS CAMINHONEIRO E DECIO;1078;;6071,11
ARLA;14;12/04/22;POSTOS CAMINHONEIRO E DECIO;;;185,28
TRIAGEM;15;12/04/22;PATIO;;;120
CONCERTO DE PNEUS;18;12/04/22;BORRACHARIA;;;55
LICENÇA RODOVIA;21;12/04/22;DEPOSITO;;;
COMISSAO;24;12/04/22;COMISSAO ;;;1296,6
SEGURO;25;12/04/22;SEGURO E TAXAS;;;51,13
CTE  GVA;26;12/04/22;TAXAS;;;176,6
FRETE FUBA;1;18/04/22;BUNG ARMAZEM ASO;XAVANTINA X UBERABA;11797;
KM SAIDA ;2;18/04/22;;;;
KM CHEGADA ;3;18/04/22;;;;
DIESEL;13;18/04/22;POSTOS CAMINHONEIRO E DECIO;1049;;5906,57
ARLA;14;18/04/22;POSTOS CAMINHONEIRO E DECIO;;;213,02
TRIAGEM;15;18/04/22;PATIO;;;60
LICENÇA RODOVIA;21;18/04/22;DEPOSITO;;;
CLASSIFICADOR;22;18/04/22;GORGETA;;;25
COMISSAO;24;18/04/22;COMISSAO ;;;1297,67
SEGURO;25;18/04/22;SEGURO ETAXAS;;;51,19
CTE  GVA;26;18/04/22;;;;
PEDAGIO;29;18/04/22;CONCESSIONARIA;;;82,5
FRETE FUBA;1;21/04/22;FAZ. STA TERESINHA XAVANTINA X UBERABA;BUNG;12849,2;
KM SAIDA ;2;21/04/22;;;;
KM CHEGADA ;3;24/04/22;;;;
DIESEL;13;24/04/22;POSTOS CAMINHONEIRO E DECIO;1060;;5968,4
ARLA;14;24/04/22;POSTOS CAMINHONEIRO E DECIO;;;205,61
OFICINA DA CARRETA;20;25/04/22;PONTUAL SOLDAS SHEGO;;;640
OFICINA DA CARRETA;20;25/04/22;BRASIL CHASSI LIBRELATO;TAMBOR FREIO GRAXA;;2405
LICENÇA RODOVIA;21;25/04/22;RECEBI EM MAOS ;;;
CLASSIFICADOR;22;25/04/22;GORGETA;;;20
COMISSAO;24;25/04/22;COMISSAO ;;;1413,41
SEGURO;25;25/04/22;SEGURO TAXAS E QUEBRA;;;381,04
CTE  GVA;26;25/04/22;TARIFA;DOIS FRETE;;371,31
PEDAGIO;29;25/04/22;CONCESSIONARIA;;;82,5
TRIAGEM;15;25/04/22;PATIO ;;;60
FRETE FUBA;1;27/04/22;QUERENCIA X UBERABA;BUNG;15455,44;
KM SAIDA ;2;27/04/22;;;;
KM CHEGADA ;3;27/04/22;;;;
DIESEL;13;27/04/22;CAMINHONEIRO PIRANHAS;1213;;7830,05
ARLA;14;27/04/22;CAMINHONEIRO PIRANHAS;;;329,16
TRIAGEM;15;27/04/22;PATIO;;;60
